CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102943943001EY0F;14/02/2025;17;0;0,99;;R
ES0031102943943001EY0F;14/02/2025;18;0;0,447;;R
ES0031102943943001EY0F;14/02/2025;19;0,271;0;;R
ES0031102943943001EY0F;14/02/2025;20;0,474;0;;R
ES0031102943943001EY0F;14/02/2025;21;0,592;0;;R
ES0031102943943001EY0F;14/02/2025;22;0,531;0;;R
ES0031102943943001EY0F;14/02/2025;23;1,61;0;;R
ES0031102943943001EY0F;14/02/2025;24;1,363;0;;R
ES0031102943943001EY0F;15/02/2025;1;1,136;0;;R
ES0031102943943001EY0F;15/02/2025;2;0,766;0;;R
ES0031102943943001EY0F;15/02/2025;3;0,264;0;;R
ES0031102943943001EY0F;15/02/2025;4;0,245;0;;R
ES0031102943943001EY0F;15/02/2025;5;0,231;0;;R
ES0031102943943001EY0F;15/02/2025;6;0,235;0;;R
ES0031102943943001EY0F;15/02/2025;7;0,237;0;;R
ES0031102943943001EY0F;15/02/2025;8;0,233;0;;R
ES0031102943943001EY0F;15/02/2025;9;0,106;0;;R
ES0031102943943001EY0F;15/02/2025;10;0;0,594;;R
ES0031102943943001EY0F;15/02/2025;11;0;0,557;;R
ES0031102943943001EY0F;15/02/2025;12;0,502;0;;R
ES0031102943943001EY0F;15/02/2025;13;0;0,494;;R
ES0031102943943001EY0F;15/02/2025;14;0;0,936;;R
ES0031102943943001EY0F;15/02/2025;15;0;1,297;;R
ES0031102943943001EY0F;15/02/2025;16;0;1,332;;R
ES0031102943943001EY0F;15/02/2025;17;0;0,734;;R
ES0031102943943001EY0F;15/02/2025;18;0,209;0;;R
ES0031102943943001EY0F;15/02/2025;19;0,351;0;;R
ES0031102943943001EY0F;15/02/2025;20;0,528;0;;R
ES0031102943943001EY0F;15/02/2025;21;0,494;0;;R
ES0031102943943001EY0F;15/02/2025;22;1,815;0;;R
ES0031102943943001EY0F;15/02/2025;23;1,614;0;;R
ES0031102943943001EY0F;15/02/2025;24;1,216;0;;R
ES0031102943943001EY0F;16/02/2025;1;0,611;0;;R
ES0031102943943001EY0F;16/02/2025;2;0,247;0;;R
ES0031102943943001EY0F;16/02/2025;3;0,246;0;;R
ES0031102943943001EY0F;16/02/2025;4;0,232;0;;R
ES0031102943943001EY0F;16/02/2025;5;0,244;0;;R
ES0031102943943001EY0F;16/02/2025;6;0,224;0;;R
ES0031102943943001EY0F;16/02/2025;7;0,242;0;;R
ES0031102943943001EY0F;16/02/2025;8;0,227;0;;R
ES0031102943943001EY0F;16/02/2025;9;0,213;0;;R
ES0031102943943001EY0F;16/02/2025;10;0,231;0;;R
ES0031102943943001EY0F;16/02/2025;11;0,34;0;;R
ES0031102943943001EY0F;16/02/2025;12;0,112;0;;R
ES0031102943943001EY0F;16/02/2025;13;0;1,689;;R
ES0031102943943001EY0F;16/02/2025;14;0;2,129;;R
ES0031102943943001EY0F;16/02/2025;15;0;1,065;;R
ES0031102943943001EY0F;16/02/2025;16;0;1,385;;R
ES0031102943943001EY0F;16/02/2025;17;0;1,307;;R
